animal_id,animal_type,sex,yrs,mnth,breed,color_prim,color_sec,los,intake_type,intake_subtype,intake_date,outcome_type,outcome_subtype,outcome_date
A259546,LIVESTOCK,S,1,6,PIG,GRAY,BLACK,68,OWNER SUR,EVALUATION,11/25/17,,,
A259597,OTHER,F,1,0,GUINEA PIG,TRICOLOR,,65,OWNER SUR,EVALUATION,11/28/17,,,
A247894,CAT,N,13,0,DOMESTIC SH,TAB CLASSI,GRAY,65,OWNER SUR,EVALUATION,11/28/17,,,
A259596,OTHER,F,1,0,GUINEA PIG,TAN,WHITE,65,OWNER SUR,EVALUATION,11/28/17,,,
A259670,OTHER,F,1,6,GUINEA PIG,TRICOLOR,,62,OWNER SUR,EVALUATION,12/1/17,,,
A259794,CAT,S,8,0,DOMESTIC SH,WHITE,BLACK,52,OWNER SUR,EVALUATION,12/11/17,,,
A259870,LIVESTOCK,N,3,9,POTBELLY PIG,BLACK,,46,OWNER SUR,EVALUATION,12/17/17,,,
A259873,LIVESTOCK,N,3,0,PIG,BLACK,,45,OWNER SUR,EVALUATION,12/18/17,,,
A256701,CAT,S,12,0,DOMESTIC SH,TAB CLS WH,BROWN,43,OWNER SUR,EVALUATION,12/20/17,,,
A260077,CAT,S,1,8,DOMESTIC SH,TORBIE,,26,OWNER SUR,EVALUATION,1/6/18,ADOPTION,NEW OWNER,1/13/18
A260078,CAT,S,3,1,DOMESTIC SH,BLACK,WHITE,26,OWNER SUR,EVALUATION,1/6/18,ADOPTION,NEW OWNER,1/13/18
A260080,OTHER,M,1,10,GUINEA PIG,WHITE,BROWN,26,OWNER SUR,EVALUATION,1/6/18,ADOPTION,NEW OWNER,1/21/18
A260085,OTHER,S,2,0,MIX THAT LOOKS LIKE A DWARF HOTOT,WHITE,BLACK,26,OWNER SUR,EVALUATION,1/6/18,ADOPTION,NEW OWNER,1/31/18
A247597,CAT,S,0,0.2,DOMESTIC SH,GRAY,WHITE,26,RETURN,ADOPTION,1/6/18,,,
A233424,CAT,N,4,0,DOMESTIC SH,ORANGE,WHITE,26,STRAY,STRAY,1/6/18,RTO,MICROCHIP,1/6/18
A260083,CAT,S,5,0,DOMESTIC SH,CALICO-DIL,,26,STRAY,STRAY,1/6/18,RTO,MICROCHIP,1/9/18
A260073,CAT,S,2,0,DOMESTIC SH,BLACK,,26,STRAY,STRAY,1/6/18,ADOPTION,NEW OWNER,1/12/18
A259470,CAT,S,1,6,DOMESTIC SH,BLACK,,26,STRAY,STRAY,1/6/18,ADOPTION,NEW OWNER,1/12/18
A259687,CAT,N,0,7,DOMESTIC SH,BLACK,WHITE,26,STRAY,STRAY,1/6/18,ADOPTION,NEW OWNER,1/12/18
A260074,CAT,N,3,0,DOMESTIC LH,TAB MAC WH,BROWN,26,STRAY,STRAY,1/6/18,ADOPTION,NEW OWNER,1/13/18
A260081,CAT,N,5,0,DOMESTIC SH,ORANGE,,26,STRAY,STRAY,1/6/18,ADOPTION,SPEC ADOPT,1/25/18
A260082,BIRD,U,1,0,DOVE-ROCK,GRAY,,26,WILDLIFE,WILDLIFE,1/6/18,EUTH,INJURED,1/6/18
